Date,BTC,LTC,NMC,PPC,FTC,XRP,DOGE,VTC,DGB,RDD,DASH,XCP,MONA,GRS,XMR,CLOAK,BCN,NAV,XDN,BTS,VIA,XLM,SYS,EMC,GAME,XVG,BLOCK,XEM,ETH
2015-12-31T23:00:00Z,434.3340148926,3.5089800358,0.4537509978,0.4157249928,0.00371464993805,0.00595503021032,1.5439199342e-4,0.0212564003,1.30490007e-4,1.838090066e-5,3.3770198822,0.6065459847,0.0590533018,9.0266397456e-4,0.4978669882,0.0469080992,3.074330016e-5,0.00188550003804,6.421269791e-5,0.00345968990587,0.00441562011838,0.00174819002859,4.4663500739e-4,0.0777207986,0.0130888,1.487119971e-5,0.0306038,1.619560062e-4,0.9480239749
2016-01-01T23:00:00Z,433.4379882813,3.5021600723,0.4200280011,0.4248580039,0.00382159999572,0.00606471998617,1.5074299881e-4,0.0204262007,1.3494299492e-4,1.772470023e-5,3.2801599503,0.541655004,0.0611039996,0.00111359998118,0.5326679945,0.0438923985,3.070880121e-5,0.00219340994954,7.560270024e-5,0.00341757992283,0.00397496018559,0.00174126995262,4.0902700857e-4,0.080035001,0.0134126004,1.138750031e-5,0.0361117013,1.6492699797e-4,0.9371240139
2016-01-02T23:00:00Z,430.0109863281,3.4830698967,0.4569360018,0.4262810051,0.00393326021731,0.00601714011282,1.4575899695e-4,0.0225195009,1.3062100334e-4,2.066880006e-5,3.2401399612,0.5464829803,0.0602579005,0.00105320999864,0.5003119707,0.0439017005,3.130899859e-5,0.00204548006877,6.523790216e-5,0.00338641996495,0.00428218021989,0.00174402003177,4.2961898725e-4,0.0741462037,0.0129356002,1.177410013e-5,0.0798230991,1.748700015e-4,0.9719049931
2016-01-03T23:00:00Z,433.091003418,3.4953899384,0.4349370003,0.4218739867,0.00359827000648,0.0059577501379,1.4364499657e-4,0.0214278996,1.2919600704e-4,1.981830064e-5,3.3189899921,0.5760579705,0.0674854964,9.1388699366e-4,0.5173879862,0.0436693989,3.315370122e-5,0.00226817000657,6.686429697e-5,0.00336590991355,0.00482692010701,0.0017482599942,4.3449198711e-4,0.0841882974,0.0114296004,1.300189979e-5,0.035082899,2.0271500398e-4,0.9544799924
2016-01-04T23:00:00Z,431.9599914551,3.4696700573,0.4114820063,0.407931,0.00304335006513,0.00604433007538,1.3710900384e-4,0.0199766997,1.3262199354e-4,1.579700074e-5,3.3257598877,0.5547940135,0.0697783008,0.00106689997483,0.4992719889,0.0360025987,3.328169987e-5,0.00255445996299,6.188039697e-5,0.00337042007595,0.00420542014763,0.0017211700324,4.1933899047e-4,0.125800997,0.0109444,1.323030028e-5,0.032681901,1.8646600074e-4,0.9501760006
2016-01-05T23:00:00Z,429.1050109863,3.4535601139,0.408585012,0.4036140144,0.00300895003602,0.00600328994915,1.3453600695e-4,0.0183252003,1.2907499331e-4,2.086369932e-5,3.3776800632,0.6035860181,0.077406399,0.00103255000431,0.5050529838,0.032714799,3.252020178e-5,0.00241887988523,6.563989882e-5,0.00324541004375,0.0042667100206,0.00167197000701,4.2162599857e-4,0.1710149944,0.0108174998,1.290870023e-5,0.0312079005,1.8785400607e-4,0.9508600235
2016-01-06T23:00:00Z,458.0480041504,3.6041400433,0.4303149879,0.425857991,0.00308499997482,0.00603917986155,1.3925599342e-4,0.0186509993,1.3759599824e-4,2.277649946e-5,3.3817999363,0.6061199903,0.0804800987,8.760310011e-4,0.4925290048,0.0323520005,3.508220107e-5,0.00230727996677,6.822939758e-5,0.00297898007557,0.00431866990402,0.00172766996548,4.5060599223e-4,0.1361069977,0.0103219002,1.375190004e-5,0.0306246001,2.5175799965e-4,0.9420049787
2016-01-07T23:00:00Z,453.2300109863,3.5688800812,0.4240469933,0.4162209928,0.00308563001454,0.00593330990523,1.582900004e-4,0.0181674995,1.3600599777e-4,1.874040026e-5,3.3050100803,0.5728549957,0.0741482005,8.7950500892e-4,0.4884169996,0.0429125018,3.398369881e-5,0.00185015995521,6.610019773e-5,0.00292063993402,0.00444291997701,0.00168143003248,4.8145398614e-4,0.1188160032,0.010582,1.354790038e-5,0.0288369991,2.7195399161e-4,0.9867889881
2016-01-08T23:00:00Z,447.6109924316,3.5605700016,0.4201219976,0.4172959924,0.00315382005647,0.00598201993853,1.7980599659e-4,0.0195966996,1.9266900199e-4,2.439059972e-5,3.1793498993,0.5451959968,0.0679271966,8.0566701945e-4,0.4901350141,0.0286324993,3.354579894e-5,0.00226066005416,6.658789789e-5,0.00313965999521,0.00420230999589,0.00174923997838,4.3640201329e-4,0.1507769972,0.0103847999,1.342910036e-5,0.0278824996,2.5607299176e-4,0.9868329763
2016-01-09T23:00:00Z,447.9909973145,3.5367200375,0.4252830148,0.4158590138,0.00306101003662,0.00595605978742,1.6678799875e-4,0.0193208009,2.1490000654e-4,2.100990059e-5,3.2947099209,0.5453490019,0.0701335967,9.1778498609e-4,0.4885779917,0.0294989999,3.353119973e-5,0.00209019007161,7.437739987e-5,0.00302864005789,0.00468001980335,0.00176536000799,4.4042800437e-4,0.1629649997,0.00952787976712,1.391240039e-5,0.0244449992,2.5604601251e-4,0.9992309809
2016-01-10T23:00:00Z,448.4280090332,3.5566198826,0.4328750074,0.4246889949,0.00301659991965,0.00589466001838,1.7069200112e-4,0.0190766994,1.700349967e-4,1.825159961e-5,3.149490118,0.501891017,0.0706373006,9.2381698778e-4,0.4820489883,0.0427916013,3.712989928e-5,0.00218762992881,7.414430002e-5,0.0030142699834,0.00406459020451,0.00173949997406,4.441899946e-4,0.1533879936,0.00936007965356,1.345360033e-5,0.0241103992,2.3876100022e-4,1.0615999699
2016-01-11T23:00:00Z,435.6900024414,3.4936800003,0.4320380092,0.4379560053,0.00328862993047,0.00585437985137,1.7976800154e-4,0.0260812994,1.5331500617e-4,1.936139961e-5,3.0304100513,0.4828889966,0.0720475018,9.1420399258e-4,0.4901129901,0.0527381003,3.623319935e-5,0.00209102989174,6.765010039e-5,0.00314571009949,0.00368637009524,0.00174338999204,4.2208601371e-4,0.156832993,0.00972939003259,1.318560044e-5,0.0311971996,2.5986600667e-4,1.1410000324
2016-01-12T23:00:00Z,432.3710021973,3.4760200977,0.4390890002,0.4517819881,0.00322730001062,0.00579363992438,1.7709399981e-4,0.0228010006,1.4175800607e-4,1.859690019e-5,3.0976700783,0.5492150187,0.0701802,8.64732021e-4,0.4843020141,0.0502409004,3.688300058e-5,0.00211844989099,6.482980098e-5,0.00325673003681,0.0035761599429,0.00182400003541,4.2823501281e-4,0.1861840039,0.00910019036382,1.275179966e-5,0.0283863004,2.4821498664e-4,1.1252000332
2016-01-13T23:00:00Z,430.3059997559,3.4659900665,0.4624519944,0.4561679959,0.00335390004329,0.00552935991436,1.7483900592e-4,0.0256786998,1.4576199465e-4,1.984359915e-5,3.3987300396,0.5406020284,0.0681490973,8.6503202328e-4,0.4864830077,0.0613122992,3.711940008e-5,0.00252115004696,6.908560317e-5,0.0031834600959,0.00414835009724,0.00191400002223,4.7202198766e-4,0.2914069891,0.00956477969885,1.322210028e-5,0.0346398987,2.8486299561e-4,1.1895899773
2016-01-14T23:00:00Z,364.3309936523,2.9967799187,0.3705460131,0.3693619967,0.00256611010991,0.005229330156,1.491389994e-4,0.0206749998,1.2798300304e-4,2.172150016e-5,3.3565900326,0.4937820137,0.0679370016,0.00116281001829,0.4284560084,0.0599685982,3.141630077e-5,0.00192855997011,5.585480176e-5,0.00307669001631,0.00382133992389,0.00173748994712,3.5994200152e-4,0.2531970143,0.00784664973617,1.09618004e-5,0.0208299998,2.560300054e-4,1.2080099583
